# freq, I_pwr, V_pwr, I_th, V_th
1.7117e+01 1.7843e+01 8.2226e+00 2.8940e+00 0.0000e+00
1.7207e+01 1.7755e+01 8.1740e+00 2.9246e+00 0.0000e+00
1.7297e+01 1.7668e+01 8.1254e+00 2.9553e+00 0.0000e+00
1.7387e+01 1.7581e+01 8.0768e+00 2.9862e+00 0.0000e+00
1.7477e+01 1.7494e+01 8.0282e+00 3.0172e+00 0.0000e+00
1.7568e+01 1.7407e+01 7.9796e+00 3.0484e+00 0.0000e+00
1.7658e+01 1.7321e+01 7.9311e+00 3.0797e+00 0.0000e+00
1.7748e+01 1.7235e+01 7.8827e+00 3.1112e+00 0.0000e+00
1.7838e+01 1.7149e+01 7.8343e+00 3.1429e+00 0.0000e+00
1.7928e+01 1.7064e+01 7.7860e+00 3.1747e+00 0.0000e+00
1.8018e+01 1.6979e+01 7.7379e+00 3.2067e+00 0.0000e+00
1.8108e+01 1.6894e+01 7.6899e+00 3.2389e+00 0.0000e+00
1.8198e+01 1.6810e+01 7.6420e+00 3.2712e+00 0.0000e+00
1.8288e+01 1.6726e+01 7.5943e+00 3.3036e+00 0.0000e+00
1.8378e+01 1.6642e+01 7.5467e+00 3.3363e+00 0.0000e+00
1.8468e+01 1.6559e+01 7.4993e+00 3.3690e+00 0.0000e+00
1.8559e+01 1.6476e+01 7.4521e+00 3.4020e+00 0.0000e+00
1.8649e+01 1.6394e+01 7.4051e+00 3.4351e+00 0.0000e+00
1.8739e+01 1.6312e+01 7.3584e+00 3.4684e+00 0.0000e+00
1.8829e+01 1.6230e+01 7.3118e+00 3.5018e+00 0.0000e+00
1.8919e+01 1.6149e+01 7.2654e+00 3.5354e+00 0.0000e+00
1.9009e+01 1.6068e+01 7.2193e+00 3.5691e+00 0.0000e+00
1.9099e+01 1.5988e+01 7.1735e+00 3.6031e+00 0.0000e+00
1.9189e+01 1.5908e+01 7.1278e+00 3.6371e+00 0.0000e+00
1.9279e+01 1.5829e+01 7.0824e+00 3.6714e+00 0.0000e+00
1.9369e+01 1.5750e+01 7.0373e+00 3.7057e+00 0.0000e+00
1.9459e+01 1.5672e+01 6.9925e+00 3.7403e+00 0.0000e+00
1.9550e+01 1.5594e+01 6.9479e+00 3.7750e+00 0.0000e+00
1.9640e+01 1.5517e+01 6.9035e+00 3.8099e+00 0.0000e+00
1.9730e+01 1.5440e+01 6.8595e+00 3.8449e+00 0.0000e+00
1.9820e+01 1.5363e+01 6.8157e+00 3.8801e+00 0.0000e+00
1.9910e+01 1.5287e+01 6.7722e+00 3.9155e+00 0.0000e+00
2.0000e+01 1.5212e+01 6.7290e+00 3.9510e+00 0.0000e+00
2.0090e+01 1.5137e+01 6.6860e+00 3.9867e+00 0.0000e+00
2.0180e+01 1.5063e+01 6.6434e+00 4.0225e+00 0.0000e+00
2.0270e+01 1.4989e+01 6.6010e+00 4.0585e+00 0.0000e+00
2.0360e+01 1.4915e+01 6.5590e+00 4.0946e+00 0.0000e+00
2.0450e+01 1.4842e+01 6.5172e+00 4.1310e+00 0.0000e+00
2.0541e+01 1.4770e+01 6.4757e+00 4.1674e+00 0.0000e+00
2.0631e+01 1.4698e+01 6.4345e+00 4.2041e+00 0.0000e+00
2.0721e+01 1.4626e+01 6.3936e+00 4.2409e+00 0.0000e+00
2.0811e+01 1.4555e+01 6.3531e+00 4.2778e+00 0.0000e+00
2.0901e+01 1.4485e+01 6.3128e+00 4.3149e+00 0.0000e+00
2.0991e+01 1.4415e+01 6.2728e+00 4.3522e+00 0.0000e+00
2.1081e+01 1.4345e+01 6.2331e+00 4.3897e+00 0.0000e+00
2.1171e+01 1.4276e+01 6.1937e+00 4.4273e+00 0.0000e+00
2.1261e+01 1.4208e+01 6.1546e+00 4.4650e+00 0.0000e+00
2.1351e+01 1.4139e+01 6.1158e+00 4.5029e+00 0.0000e+00
2.1441e+01 1.4072e+01 6.0773e+00 4.5410e+00 0.0000e+00
2.1532e+01 1.4005e+01 6.0391e+00 4.5793e+00 0.0000e+00
2.1622e+01 1.3938e+01 6.0011e+00 4.6177e+00 0.0000e+00
2.1712e+01 1.3872e+01 5.9635e+00 4.6562e+00 0.0000e+00
2.1802e+01 1.3806e+01 5.9262e+00 4.6949e+00 0.0000e+00
2.1892e+01 1.3741e+01 5.8892e+00 4.7338e+00 0.0000e+00
2.1982e+01 1.3676e+01 5.8524e+00 4.7729e+00 0.0000e+00
2.2072e+01 1.3612e+01 5.8160e+00 4.8121e+00 0.0000e+00
2.2162e+01 1.3548e+01 5.7798e+00 4.8514e+00 0.0000e+00
2.2252e+01 1.3485e+01 5.7440e+00 4.8909e+00 0.0000e+00
2.2342e+01 1.3422e+01 5.7084e+00 4.9306e+00 0.0000e+00
2.2432e+01 1.3360e+01 5.6731e+00 4.9705e+00 0.0000e+00
2.2523e+01 1.3298e+01 5.6381e+00 5.0105e+00 0.0000e+00
2.2613e+01 1.3236e+01 5.6034e+00 5.0506e+00 0.0000e+00
2.2703e+01 1.3175e+01 5.5689e+00 5.0910e+00 0.0000e+00
2.2793e+01 1.3114e+01 5.5348e+00 5.1314e+00 0.0000e+00
2.2883e+01 1.3054e+01 5.5009e+00 5.1721e+00 0.0000e+00
2.2973e+01 1.2995e+01 5.4673e+00 5.2129e+00 0.0000e+00
2.3063e+01 1.2935e+01 5.4339e+00 5.2539e+00 0.0000e+00
2.3153e+01 1.2876e+01 5.4009e+00 5.2950e+00 0.0000e+00
2.3243e+01 1.2818e+01 5.3681e+00 5.3363e+00 0.0000e+00
2.3333e+01 1.2760e+01 5.3356e+00 5.3777e+00 0.0000e+00
2.3423e+01 1.2702e+01 5.3033e+00 5.4193e+00 0.0000e+00
2.3514e+01 1.2645e+01 5.2714e+00 5.4611e+00 0.0000e+00
2.3604e+01 1.2589e+01 5.2396e+00 5.5030e+00 0.0000e+00
2.3694e+01 1.2532e+01 5.2082e+00 5.5451e+00 0.0000e+00
2.3784e+01 1.2476e+01 5.1770e+00 5.5874e+00 0.0000e+00
2.3874e+01 1.2421e+01 5.1460e+00 5.6298e+00 0.0000e+00
2.3964e+01 1.2366e+01 5.1154e+00 5.6723e+00 0.0000e+00
2.4054e+01 1.2311e+01 5.0849e+00 5.7151e+00 0.0000e+00
2.4144e+01 1.2257e+01 5.0548e+00 5.7580e+00 0.0000e+00
2.4234e+01 1.2203e+01 5.0248e+00 5.8010e+00 0.0000e+00
2.4324e+01 1.2150e+01 4.9952e+00 5.8442e+00 0.0000e+00
2.4414e+01 1.2096e+01 4.9657e+00 5.8876e+00 0.0000e+00
2.4505e+01 1.2044e+01 4.9365e+00 5.9311e+00 0.0000e+00
2.4595e+01 1.1991e+01 4.9076e+00 5.9748e+00 0.0000e+00
2.4685e+01 1.1939e+01 4.8789e+00 6.0187e+00 0.0000e+00
2.4775e+01 1.1888e+01 4.8504e+00 6.0627e+00 0.0000e+00
2.4865e+01 1.1837e+01 4.8222e+00 6.1068e+00 0.0000e+00
2.4955e+01 1.1786e+01 4.7942e+00 6.1512e+00 0.0000e+00
2.5045e+01 1.1736e+01 4.7664e+00 6.1957e+00 0.0000e+00
2.5135e+01 1.1685e+01 4.7389e+00 6.2403e+00 0.0000e+00
2.5225e+01 1.1636e+01 4.7116e+00 6.2851e+00 0.0000e+00
2.5315e+01 1.1586e+01 4.6845e+00 6.3301e+00 0.0000e+00
2.5405e+01 1.1537e+01 4.6577e+00 6.3752e+00 0.0000e+00
2.5495e+01 1.1489e+01 4.6310e+00 6.4205e+00 0.0000e+00
2.5586e+01 1.1441e+01 4.6046e+00 6.4660e+00 0.0000e+00
2.5676e+01 1.1393e+01 4.5784e+00 6.5116e+00 0.0000e+00
2.5766e+01 1.1345e+01 4.5524e+00 6.5574e+00 0.0000e+00
2.5856e+01 1.1298e+01 4.5267e+00 6.6033e+00 0.0000e+00
2.5946e+01 1.1251e+01 4.5011e+00 6.6494e+00 0.0000e+00
2.6036e+01 1.1204e+01 4.4758e+00 6.6957e+00 0.0000e+00
2.6126e+01 1.1158e+01 4.4507e+00 6.7421e+00 0.0000e+00
2.6216e+01 1.1112e+01 4.4257e+00 6.7887e+00 0.0000e+00
2.6306e+01 1.1067e+01 4.4010e+00 6.8354e+00 0.0000e+00
2.6396e+01 1.1021e+01 4.3765e+00 6.8823e+00 0.0000e+00
2.6486e+01 1.0976e+01 4.3522e+00 6.9294e+00 0.0000e+00
2.6577e+01 1.0932e+01 4.3280e+00 6.9766e+00 0.0000e+00
2.6667e+01 1.0887e+01 4.3041e+00 7.0240e+00 0.0000e+00
2.6757e+01 1.0843e+01 4.2804e+00 7.0715e+00 0.0000e+00
2.6847e+01 1.0800e+01 4.2569e+00 7.1192e+00 0.0000e+00
2.6937e+01 1.0756e+01 4.2335e+00 7.1671e+00 0.0000e+00
2.7027e+01 1.0713e+01 4.2104e+00 7.2151e+00 0.0000e+00
2.7117e+01 1.0671e+01 4.1874e+00 7.2633e+00 0.0000e+00
2.7207e+01 1.0628e+01 4.1646e+00 7.3116e+00 0.0000e+00
2.7297e+01 1.0586e+01 4.1420e+00 7.3601e+00 0.0000e+00
2.7387e+01 1.0544e+01 4.1196e+00 7.4088e+00 0.0000e+00
2.7477e+01 1.0503e+01 4.0974e+00 7.4576e+00 0.0000e+00
2.7568e+01 1.0461e+01 4.0753e+00 7.5066e+00 0.0000e+00
2.7658e+01 1.0420e+01 4.0534e+00 7.5557e+00 0.0000e+00
2.7748e+01 1.0380e+01 4.0317e+00 7.6050e+00 0.0000e+00
2.7838e+01 1.0339e+01 4.0102e+00 7.6545e+00 0.0000e+00
2.7928e+01 1.0299e+01 3.9889e+00 7.7041e+00 0.0000e+00
2.8018e+01 1.0259e+01 3.9677e+00 7.7539e+00 0.0000e+00
2.8108e+01 1.0220e+01 3.9467e+00 7.8038e+00 0.0000e+00
2.8198e+01 1.0180e+01 3.9258e+00 7.8539e+00 0.0000e+00
2.8288e+01 1.0141e+01 3.9051e+00 7.9042e+00 0.0000e+00
2.8378e+01 1.0102e+01 3.8846e+00 7.9546e+00 0.0000e+00
2.8468e+01 1.0064e+01 3.8643e+00 8.0052e+00 0.0000e+00
2.8559e+01 1.0026e+01 3.8441e+00 8.0560e+00 0.0000e+00
2.8649e+01 9.9876e+00 3.8240e+00 8.1069e+00 0.0000e+00
2.8739e+01 9.9498e+00 3.8042e+00 8.1579e+00 0.0000e+00
2.8829e+01 9.9123e+00 3.7844e+00 8.2092e+00 0.0000e+00
2.8919e+01 9.8751e+00 3.7649e+00 8.2605e+00 0.0000e+00
2.9009e+01 9.8381e+00 3.7455e+00 8.3121e+00 0.0000e+00
2.9099e+01 9.8014e+00 3.7262e+00 8.3638e+00 0.0000e+00
2.9189e+01 9.7649e+00 3.7071e+00 8.4157e+00 0.0000e+00
2.9279e+01 9.7286e+00 3.6881e+00 8.4677e+00 0.0000e+00
2.9369e+01 9.6926e+00 3.6693e+00 8.5199e+00 0.0000e+00
2.9459e+01 9.6568e+00 3.6506e+00 8.5722e+00 0.0000e+00
2.9550e+01 9.6213e+00 3.6321e+00 8.6247e+00 0.0000e+00
2.9640e+01 9.5860e+00 3.6137e+00 8.6774e+00 0.0000e+00
2.9730e+01 9.5509e+00 3.5955e+00 8.7303e+00 0.0000e+00
2.9820e+01 9.5161e+00 3.5774e+00 8.7832e+00 0.0000e+00
2.9910e+01 9.4815e+00 3.5594e+00 8.8364e+00 0.0000e+00
3.0000e+01 9.4471e+00 3.5416e+00 8.8897e+00 0.0000e+00
3.0090e+01 9.4130e+00 3.5239e+00 8.9432e+00 0.0000e+00
3.0180e+01 9.3791e+00 3.5064e+00 8.9968e+00 0.0000e+00
3.0270e+01 9.3453e+00 3.4890e+00 9.0506e+00 0.0000e+00
3.0360e+01 9.3119e+00 3.4717e+00 9.1046e+00 0.0000e+00
3.0450e+01 9.2786e+00 3.4545e+00 9.1587e+00 0.0000e+00
3.0541e+01 9.2455e+00 3.4375e+00 9.2129e+00 0.0000e+00
3.0631e+01 9.2127e+00 3.4206e+00 9.2674e+00 0.0000e+00
3.0721e+01 9.1801e+00 3.4039e+00 9.3220e+00 0.0000e+00
3.0811e+01 9.1477e+00 3.3872e+00 9.3767e+00 0.0000e+00
3.0901e+01 9.1154e+00 3.3707e+00 9.4316e+00 0.0000e+00
3.0991e+01 9.0834e+00 3.3543e+00 9.4867e+00 0.0000e+00
3.1081e+01 9.0516e+00 3.3381e+00 9.5419e+00 0.0000e+00
3.1171e+01 9.0200e+00 3.3219e+00 9.5973e+00 0.0000e+00
3.1261e+01 8.9886e+00 3.3059e+00 9.6529e+00 0.0000e+00
3.1351e+01 8.9575e+00 3.2900e+00 9.7086e+00 0.0000e+00
3.1441e+01 8.9265e+00 3.2742e+00 9.7645e+00 0.0000e+00
3.1532e+01 8.8956e+00 3.2585e+00 9.8205e+00 0.0000e+00
3.1622e+01 8.8650e+00 3.2430e+00 9.8767e+00 0.0000e+00
3.1712e+01 8.8346e+00 3.2275e+00 9.9331e+00 0.0000e+00
3.1802e+01 8.8044e+00 3.2122e+00 9.9896e+00 0.0000e+00
3.1892e+01 8.7744e+00 3.1970e+00 1.0046e+01 0.0000e+00
3.1982e+01 8.7445e+00 3.1819e+00 1.0103e+01 0.0000e+00
3.2072e+01 8.7148e+00 3.1669e+00 1.0160e+01 0.0000e+00
3.2162e+01 8.6854e+00 3.1520e+00 1.0217e+01 0.0000e+00
3.2252e+01 8.6561e+00 3.1372e+00 1.0275e+01 0.0000e+00
3.2342e+01 8.6270e+00 3.1226e+00 1.0332e+01 1.1479e-15
3.2432e+01 8.5980e+00 3.1080e+00 1.0390e+01 3.4438e-15
