# f, o1, x1, o2, x2, o3, x3, o4, x4
1.3964e+01 1.1740e-01 2.4461e-02 9.6301e-01 9.6301e-01 3.0453e+00 3.0453e+00 3.0453e+00 3.0453e+00
1.4054e+01 1.0452e-01 2.1684e-02 9.7548e-01 9.7548e-01 3.0847e+00 3.0847e+00 3.0847e+00 3.0847e+00
1.4144e+01 9.2989e-02 1.9223e-02 9.8803e-01 9.8803e-01 3.1244e+00 3.1244e+00 3.1244e+00 3.1244e+00
1.4234e+01 8.2674e-02 1.7042e-02 1.0007e+00 1.0007e+00 3.1643e+00 3.1643e+00 3.1643e+00 3.1643e+00
1.4324e+01 7.3465e-02 1.5110e-02 1.0134e+00 1.0134e+00 3.2045e+00 3.2045e+00 3.2045e+00 3.2045e+00
1.4414e+01 6.5253e-02 1.3399e-02 1.0261e+00 1.0261e+00 3.2450e+00 3.2450e+00 3.2450e+00 3.2450e+00
1.4505e+01 5.7940e-02 1.1882e-02 1.0390e+00 1.0390e+00 3.2856e+00 3.2856e+00 3.2856e+00 3.2856e+00
1.4595e+01 5.1432e-02 1.0539e-02 1.0520e+00 1.0520e+00 3.3266e+00 3.3266e+00 3.3266e+00 3.3266e+00
1.4685e+01 4.5646e-02 9.3487e-03 1.0650e+00 1.0650e+00 3.3678e+00 3.3678e+00 3.3678e+00 3.3678e+00
1.4775e+01 4.0506e-02 8.2943e-03 1.0781e+00 1.0781e+00 3.4092e+00 3.4092e+00 3.4092e+00 3.4092e+00
1.4865e+01 3.5941e-02 7.3600e-03 1.0913e+00 1.0913e+00 3.4509e+00 3.4509e+00 3.4509e+00 3.4509e+00
1.4955e+01 3.1888e-02 6.5320e-03 1.1045e+00 1.1045e+00 3.4929e+00 3.4929e+00 3.4929e+00 3.4929e+00
1.5045e+01 2.8292e-02 5.7982e-03 1.1179e+00 1.1179e+00 3.5351e+00 3.5351e+00 3.5351e+00 3.5351e+00
1.5135e+01 2.5103e-02 5.1478e-03 1.1313e+00 1.1313e+00 3.5776e+00 3.5776e+00 3.5776e+00 3.5776e+00
1.5225e+01 2.2273e-02 4.5712e-03 1.1448e+00 1.1448e+00 3.6203e+00 3.6203e+00 3.6203e+00 3.6203e+00
1.5315e+01 1.9765e-02 4.0600e-03 1.1584e+00 1.1584e+00 3.6633e+00 3.6633e+00 3.6633e+00 3.6633e+00
1.5405e+01 1.7540e-02 3.6067e-03 1.1721e+00 1.1721e+00 3.7065e+00 3.7065e+00 3.7065e+00 3.7065e+00
1.5495e+01 1.5567e-02 3.2046e-03 1.1858e+00 1.1858e+00 3.7500e+00 3.7500e+00 3.7500e+00 3.7500e+00
1.5586e+01 1.3818e-02 2.8479e-03 1.1997e+00 1.1997e+00 3.7937e+00 3.7937e+00 3.7937e+00 3.7937e+00
1.5676e+01 1.2268e-02 2.5314e-03 1.2136e+00 1.2136e+00 3.8377e+00 3.8377e+00 3.8377e+00 3.8377e+00
1.5766e+01 1.0892e-02 2.2505e-03 1.2276e+00 1.2276e+00 3.8819e+00 3.8819e+00 3.8819e+00 3.8819e+00
1.5856e+01 9.6730e-03 2.0013e-03 1.2416e+00 1.2416e+00 3.9264e+00 3.9264e+00 3.9264e+00 3.9264e+00
1.5946e+01 8.5916e-03 1.7800e-03 1.2558e+00 1.2558e+00 3.9711e+00 3.9711e+00 3.9711e+00 3.9711e+00
