# f, o1, x1, o2, x2, o3, x3, o4, x4
2.6757e+01 2.1787e-08 5.1582e-09 3.5358e+00 3.5358e+00 1.2565e-01 3.5013e-02 1.1181e+01 1.1181e+01
2.6847e+01 1.9757e-08 4.6811e-09 3.5596e+00 3.5596e+00 1.1893e-01 3.3163e-02 1.1256e+01 1.1256e+01
2.6937e+01 1.7918e-08 4.2488e-09 3.5835e+00 3.5835e+00 1.1258e-01 3.1413e-02 1.1332e+01 1.1332e+01
2.7027e+01 1.6253e-08 3.8568e-09 3.6075e+00 3.6075e+00 1.0657e-01 2.9758e-02 1.1408e+01 1.1408e+01
2.7117e+01 1.4744e-08 3.5015e-09 3.6316e+00 3.6316e+00 1.0089e-01 2.8193e-02 1.1484e+01 1.1484e+01
2.7207e+01 1.3378e-08 3.1793e-09 3.6558e+00 3.6558e+00 9.5517e-02 2.6712e-02 1.1561e+01 1.1561e+01
2.7297e+01 1.2139e-08 2.8871e-09 3.6801e+00 3.6801e+00 9.0438e-02 2.5310e-02 1.1637e+01 1.1637e+01
2.7387e+01 1.1017e-08 2.6221e-09 3.7044e+00 3.7044e+00 8.5636e-02 2.3984e-02 1.1714e+01 1.1714e+01
2.7477e+01 9.9993e-09 2.3817e-09 3.7288e+00 3.7288e+00 8.1095e-02 2.2730e-02 1.1791e+01 1.1791e+01
2.7568e+01 9.0770e-09 2.1637e-09 3.7533e+00 3.7533e+00 7.6800e-02 2.1543e-02 1.1869e+01 1.1869e+01
2.7658e+01 8.2409e-09 1.9658e-09 3.7779e+00 3.7779e+00 7.2739e-02 2.0419e-02 1.1947e+01 1.1947e+01
2.7748e+01 7.4827e-09 1.7863e-09 3.8025e+00 3.8025e+00 6.8897e-02 1.9356e-02 1.2025e+01 1.2025e+01
2.7838e+01 6.7952e-09 1.6233e-09 3.8272e+00 3.8272e+00 6.5263e-02 1.8349e-02 1.2103e+01 1.2103e+01
2.7928e+01 6.1716e-09 1.4754e-09 3.8521e+00 3.8521e+00 6.1825e-02 1.7396e-02 1.2181e+01 1.2181e+01
2.8018e+01 5.6059e-09 1.3412e-09 3.8769e+00 3.8769e+00 5.8573e-02 1.6494e-02 1.2260e+01 1.2260e+01
2.8108e+01 5.0928e-09 1.2193e-09 3.9019e+00 3.9019e+00 5.5496e-02 1.5640e-02 1.2339e+01 1.2339e+01
2.8198e+01 4.6272e-09 1.1086e-09 3.9270e+00 3.9270e+00 5.2584e-02 1.4831e-02 1.2418e+01 1.2418e+01
2.8288e+01 4.2047e-09 1.0081e-09 3.9521e+00 3.9521e+00 4.9830e-02 1.4065e-02 1.2498e+01 1.2498e+01
2.8378e+01 3.8212e-09 9.1680e-10 3.9773e+00 3.9773e+00 4.7223e-02 1.3340e-02 1.2577e+01 1.2577e+01
2.8468e+01 3.4731e-09 8.3388e-10 4.0026e+00 4.0026e+00 4.4756e-02 1.2653e-02 1.2657e+01 1.2657e+01
2.8559e+01 3.1572e-09 7.5855e-10 4.0280e+00 4.0279e+00 4.2421e-02 1.2003e-02 1.2738e+01 1.2738e+01
2.8649e+01 2.8703e-09 6.9011e-10 4.0534e+00 4.0533e+00 4.0211e-02 1.1386e-02 1.2818e+01 1.2818e+01
2.8739e+01 2.6098e-09 6.2793e-10 4.0790e+00 4.0787e+00 3.8119e-02 1.0803e-02 1.2899e+01 1.2899e+01
2.8829e+01 2.3733e-09 5.7141e-10 4.1046e+00 4.1041e+00 3.6139e-02 1.0250e-02 1.2980e+01 1.2980e+01
2.8919e+01 2.1584e-09 5.2004e-10 4.1303e+00 4.1295e+00 3.4264e-02 9.7258e-03 1.3061e+01 1.3061e+01
2.9009e+01 1.9633e-09 4.7334e-10 4.1560e+00 4.1549e+00 3.2489e-02 9.2293e-03 1.3143e+01 1.3143e+01
2.9099e+01 1.7860e-09 4.3089e-10 4.1819e+00 4.1802e+00 3.0808e-02 8.7588e-03 1.3224e+01 1.3224e+01
2.9189e+01 1.6249e-09 3.9230e-10 4.2078e+00 4.2053e+00 2.9216e-02 8.3130e-03 1.3306e+01 1.3306e+01
2.9279e+01 1.4785e-09 3.5720e-10 4.2339e+00 4.2301e+00 2.7709e-02 7.8904e-03 1.3389e+01 1.3389e+01
2.9369e+01 1.3454e-09 3.2528e-10 4.2599e+00 4.2546e+00 2.6282e-02 7.4899e-03 1.3471e+01 1.3471e+01
2.9459e+01 1.2245e-09 2.9624e-10 4.2861e+00 4.2786e+00 2.4930e-02 7.1103e-03 1.3554e+01 1.3554e+01
2.9550e+01 1.1146e-09 2.6983e-10 4.3124e+00 4.3020e+00 2.3649e-02 6.7504e-03 1.3637e+01 1.3637e+01
2.9640e+01 1.0147e-09 2.4580e-10 4.3387e+00 4.3246e+00 2.2436e-02 6.4092e-03 1.3720e+01 1.3720e+01
2.9730e+01 9.2381e-10 2.2394e-10 4.3651e+00 4.3463e+00 2.1286e-02 6.0857e-03 1.3804e+01 1.3804e+01
2.9820e+01 8.4119e-10 2.0405e-10 4.3916e+00 4.3668e+00 2.0198e-02 5.7790e-03 1.3888e+01 1.3888e+01
2.9910e+01 7.6604e-10 1.8594e-10 4.4182e+00 4.3859e+00 1.9166e-02 5.4881e-03 1.3972e+01 1.3972e+01
3.0000e+01 6.9769e-10 1.6946e-10 4.4449e+00 4.4034e+00 1.8188e-02 5.2123e-03 1.4056e+01 1.4056e+01
3.0090e+01 6.3550e-10 1.5446e-10 4.4716e+00 4.4190e+00 1.7262e-02 4.9506e-03 1.4140e+01 1.4140e+01
3.0180e+01 5.7893e-10 1.4080e-10 4.4984e+00 4.4325e+00 1.6384e-02 4.7025e-03 1.4225e+01 1.4225e+01
3.0270e+01 5.2746e-10 1.2837e-10 4.5253e+00 4.4436e+00 1.5551e-02 4.4671e-03 1.4310e+01 1.4310e+01
3.0360e+01 4.8062e-10 1.1704e-10 4.5523e+00 4.4522e+00 1.4762e-02 4.2439e-03 1.4396e+01 1.4396e+01
3.0450e+01 4.3798e-10 1.0673e-10 4.5793e+00 4.4578e+00 1.4015e-02 4.0320e-03 1.4481e+01 1.4481e+01
3.0541e+01 3.9918e-10 9.7336e-11 4.6065e+00 4.4603e+00 1.3306e-02 3.8311e-03 1.4567e+01 1.4567e+01
3.0631e+01 3.6385e-10 8.8779e-11 4.6337e+00 4.4595e+00 1.2634e-02 3.6404e-03 1.4653e+01 1.4653e+01
3.0721e+01 3.3169e-10 8.0983e-11 4.6610e+00 4.4551e+00 1.1996e-02 3.4594e-03 1.4739e+01 1.4739e+01
3.0811e+01 3.0241e-10 7.3880e-11 4.6884e+00 4.4470e+00 1.1392e-02 3.2877e-03 1.4826e+01 1.4826e+01
3.0901e+01 2.7574e-10 6.7407e-11 4.7158e+00 4.4350e+00 1.0819e-02 3.1247e-03 1.4913e+01 1.4913e+01
3.0991e+01 2.5145e-10 6.1508e-11 4.7434e+00 4.4191e+00 1.0276e-02 2.9700e-03 1.5000e+01 1.5000e+01
3.1081e+01 2.2933e-10 5.6132e-11 4.7710e+00 4.3991e+00 9.7600e-03 2.8232e-03 1.5087e+01 1.5087e+01
3.1171e+01 2.0917e-10 5.1231e-11 4.7987e+00 4.3749e+00 9.2711e-03 2.6838e-03 1.5175e+01 1.5175e+01
3.1261e+01 1.9081e-10 4.6764e-11 4.8264e+00 4.3466e+00 8.8073e-03 2.5515e-03 1.5263e+01 1.5263e+01
3.1351e+01 1.7408e-10 4.2690e-11 4.8543e+00 4.3142e+00 8.3673e-03 2.4259e-03 1.5351e+01 1.5351e+01
3.1441e+01 1.5884e-10 3.8975e-11 4.8822e+00 4.2776e+00 7.9499e-03 2.3066e-03 1.5439e+01 1.5439e+01
3.1532e+01 1.4494e-10 3.5588e-11 4.9102e+00 4.2371e+00 7.5539e-03 2.1934e-03 1.5528e+01 1.5528e+01
3.1622e+01 1.3228e-10 3.2498e-11 4.9382e+00 4.1926e+00 7.1781e-03 2.0858e-03 1.5616e+01 1.5616e+01
3.1712e+01 1.2073e-10 2.9680e-11 4.9663e+00 4.1443e+00 6.8214e-03 1.9837e-03 1.5706e+01 1.5706e+01
3.1802e+01 1.1021e-10 2.7109e-11 4.9945e+00 4.0925e+00 6.4830e-03 1.8867e-03 1.5795e+01 1.5795e+01
3.1892e+01 1.0061e-10 2.4763e-11 5.0226e+00 4.0372e+00 6.1618e-03 1.7946e-03 1.5885e+01 1.5885e+01
3.1982e+01 9.1859e-11 2.2623e-11 5.0507e+00 3.9786e+00 5.8569e-03 1.7070e-03 1.5974e+01 1.5974e+01
3.2072e+01 8.3878e-11 2.0670e-11 5.0787e+00 3.9170e+00 5.5675e-03 1.6239e-03 1.6065e+01 1.6065e+01
3.2162e+01 7.6598e-11 1.8887e-11 5.1066e+00 3.8526e+00 5.2928e-03 1.5449e-03 1.6155e+01 1.6155e+01
3.2252e+01 6.9959e-11 1.7261e-11 5.1343e+00 3.7856e+00 5.0320e-03 1.4699e-03 1.6246e+01 1.6246e+01
3.2342e+01 6.3901e-11 1.5775e-11 5.1617e+00 3.7163e+00 4.7843e-03 1.3986e-03 1.6336e+01 1.6336e+01
3.2432e+01 5.8374e-11 1.4419e-11 5.1887e+00 3.6448e+00 4.5492e-03 1.3308e-03 1.6428e+01 1.6428e+01
3.2523e+01 5.3331e-11 1.3181e-11 5.2151e+00 3.5716e+00 4.3259e-03 1.2664e-03 1.6519e+01 1.6519e+01
3.2613e+01 4.8728e-11 1.2051e-11 5.2408e+00 3.4967e+00 4.1139e-03 1.2052e-03 1.6611e+01 1.6611e+01
3.2703e+01 4.4528e-11 1.1018e-11 5.2656e+00 3.4205e+00 3.9125e-03 1.1471e-03 1.6703e+01 1.6703e+01
3.2793e+01 4.0694e-11 1.0076e-11 5.2893e+00 3.3432e+00 3.7213e-03 1.0918e-03 1.6795e+01 1.6795e+01
3.2883e+01 3.7194e-11 9.2145e-12 5.3117e+00 3.2650e+00 3.5396e-03 1.0392e-03 1.6887e+01 1.6887e+01
3.2973e+01 3.3998e-11 8.4275e-12 5.3324e+00 3.1861e+00 3.3671e-03 9.8928e-04 1.6980e+01 1.6980e+01
3.3063e+01 3.1080e-11 7.7088e-12 5.3513e+00 3.1069e+00 3.2031e-03 9.4179e-04 1.7073e+01 1.7073e+01
3.3153e+01 2.8416e-11 7.0524e-12 5.3681e+00 3.0273e+00 3.0474e-03 8.9664e-04 1.7166e+01 1.7166e+01
3.3243e+01 2.5983e-11 6.4521e-12 5.3824e+00 2.9477e+00 2.8994e-03 8.5371e-04 1.7259e+01 1.7259e+01
3.3333e+01 2.3760e-11 5.9035e-12 5.3939e+00 2.8683e+00 2.7588e-03 8.1289e-04 1.7353e+01 1.7353e+01
3.3423e+01 2.1730e-11 5.4019e-12 5.4024e+00 2.7892e+00 2.6252e-03 7.7407e-04 1.7447e+01 1.7447e+01
3.3514e+01 1.9875e-11 4.9439e-12 5.4076e+00 2.7105e+00 2.4983e-03 7.3716e-04 1.7541e+01 1.7541e+01
3.3604e+01 1.8181e-11 4.5248e-12 5.4092e+00 2.6325e+00 2.3776e-03 7.0205e-04 1.7635e+01 1.7635e+01
3.3694e+01 1.6633e-11 4.1420e-12 5.4069e+00 2.5552e+00 2.2629e-03 6.6865e-04 1.7730e+01 1.7730e+01
3.3784e+01 1.5218e-11 3.7918e-12 5.4005e+00 2.4789e+00 2.1539e-03 6.3688e-04 1.7825e+01 1.7825e+01
3.3874e+01 1.3924e-11 3.4717e-12 5.3898e+00 2.4035e+00 2.0503e-03 6.0667e-04 1.7920e+01 1.7920e+01
3.3964e+01 1.2742e-11 3.1783e-12 5.3746e+00 2.3292e+00 1.9518e-03 5.7792e-04 1.8016e+01 1.8016e+01
3.4054e+01 1.1662e-11 2.9103e-12 5.3548e+00 2.2560e+00 1.8581e-03 5.5057e-04 1.8111e+01 1.8111e+01
3.4144e+01 1.0674e-11 2.6656e-12 5.3301e+00 2.1842e+00 1.7691e-03 5.2454e-04 1.8207e+01 1.8207e+01
3.4234e+01 9.7709e-12 2.4413e-12 5.3007e+00 2.1137e+00 1.6844e-03 4.9978e-04 1.8304e+01 1.8304e+01
3.4324e+01 8.9451e-12 2.2364e-12 5.2664e+00 2.0446e+00 1.6039e-03 4.7622e-04 1.8400e+01 1.8400e+01
3.4414e+01 8.1901e-12 2.0488e-12 5.2273e+00 1.9769e+00 1.5273e-03 4.5380e-04 1.8497e+01 1.8497e+01
3.4505e+01 7.4993e-12 1.8768e-12 5.1833e+00 1.9107e+00 1.4545e-03 4.3246e-04 1.8594e+01 1.8594e+01
3.4595e+01 6.8672e-12 1.7199e-12 5.1347e+00 1.8460e+00 1.3852e-03 4.1215e-04 1.8691e+01 1.8691e+01
3.4685e+01 6.2896e-12 1.5759e-12 5.0814e+00 1.7829e+00 1.3194e-03 3.9281e-04 1.8788e+01 1.8788e+01
3.4775e+01 5.7607e-12 1.4441e-12 5.0236e+00 1.7213e+00 1.2567e-03 3.7441e-04 1.8886e+01 1.8886e+01
3.4865e+01 5.2767e-12 1.3237e-12 4.9616e+00 1.6613e+00 1.1971e-03 3.5689e-04 1.8984e+01 1.8984e+01
3.4955e+01 4.8344e-12 1.2133e-12 4.8954e+00 1.6030e+00 1.1404e-03 3.4021e-04 1.9082e+01 1.9082e+01
3.5045e+01 4.4290e-12 1.1118e-12 4.8254e+00 1.5462e+00 1.0864e-03 3.2434e-04 1.9181e+01 1.9181e+01
3.5135e+01 4.0585e-12 1.0194e-12 4.7518e+00 1.4910e+00 1.0351e-03 3.0922e-04 1.9280e+01 1.9280e+01
3.5225e+01 3.7188e-12 9.3480e-13 4.6748e+00 1.4373e+00 9.8627e-04 2.9482e-04 1.9379e+01 1.9379e+01
3.5315e+01 3.4082e-12 8.5684e-13 4.5948e+00 1.3853e+00 9.3978e-04 2.8111e-04 1.9478e+01 1.9478e+01
3.5405e+01 3.1239e-12 7.8630e-13 4.5119e+00 1.3348e+00 8.9555e-04 2.6806e-04 1.9577e+01 1.9577e+01
3.5495e+01 2.8635e-12 7.2054e-13 4.4265e+00 1.2859e+00 8.5345e-04 2.5562e-04 1.9677e+01 1.9677e+01
3.5586e+01 2.6246e-12 6.6101e-13 4.3388e+00 1.2385e+00 8.1338e-04 2.4378e-04 1.9777e+01 1.9777e+01
3.5676e+01 2.4062e-12 6.0644e-13 4.2493e+00 1.1926e+00 7.7523e-04 2.3250e-04 1.9877e+01 1.9877e+01
3.5766e+01 2.2066e-12 5.5620e-13 4.1580e+00 1.1481e+00 7.3893e-04 2.2176e-04 1.9978e+01 1.9978e+01
3.5856e+01 2.0231e-12 5.1037e-13 4.0654e+00 1.1051e+00 7.0436e-04 2.1152e-04 2.0079e+01 2.0079e+01
3.5946e+01 1.8555e-12 4.6830e-13 3.9716e+00 1.0636e+00 6.7146e-04 2.0177e-04 2.0180e+01 2.0180e+01
3.6036e+01 1.7018e-12 4.3007e-13 3.8771e+00 1.0234e+00 6.4013e-04 1.9248e-04 2.0281e+01 2.0281e+01
3.6126e+01 1.5607e-12 3.9429e-13 3.7819e+00 9.8456e-01 6.1030e-04 1.8363e-04 2.0383e+01 2.0383e+01
3.6216e+01 1.4319e-12 3.6174e-13 3.6864e+00 9.4707e-01 5.8189e-04 1.7520e-04 2.0484e+01 2.0484e+01
3.6306e+01 1.3140e-12 3.3247e-13 3.5908e+00 9.1088e-01 5.5484e-04 1.6716e-04 2.0586e+01 2.0586e+01
3.6396e+01 1.2050e-12 3.0506e-13 3.4954e+00 8.7596e-01 5.2908e-04 1.5950e-04 2.0689e+01 2.0689e+01
3.6486e+01 1.1059e-12 2.8030e-13 3.4002e+00 8.4227e-01 5.0455e-04 1.5220e-04 2.0791e+01 2.0791e+01
3.6577e+01 1.0152e-12 2.5674e-13 3.3055e+00 8.0977e-01 4.8118e-04 1.4524e-04 2.0894e+01 2.0894e+01
3.6667e+01 9.3178e-13 2.3589e-13 3.2116e+00 7.7845e-01 4.5892e-04 1.3861e-04 2.0997e+01 2.0997e+01
3.6757e+01 8.5488e-13 2.1705e-13 3.1185e+00 7.4825e-01 4.3772e-04 1.3229e-04 2.1100e+01 2.1100e+01
3.6847e+01 7.8463e-13 1.9876e-13 3.0264e+00 7.1915e-01 4.1752e-04 1.2627e-04 2.1204e+01 2.1204e+01
3.6937e+01 7.2040e-13 1.8253e-13 2.9354e+00 6.9112e-01 3.9828e-04 1.2052e-04 2.1308e+01 2.1308e+01
3.7027e+01 6.6152e-13 1.6764e-13 2.8458e+00 6.6413e-01 3.7995e-04 1.1505e-04 2.1412e+01 2.1412e+01
3.7117e+01 6.0734e-13 1.5410e-13 2.7574e+00 6.3813e-01 3.6248e-04 1.0983e-04 2.1516e+01 2.1516e+01
3.7207e+01 5.5791e-13 1.4195e-13 2.6706e+00 6.1311e-01 3.4584e-04 1.0485e-04 2.1621e+01 2.1621e+01
3.7297e+01 5.1180e-13 1.3043e-13 2.5853e+00 5.8902e-01 3.2997e-04 1.0010e-04 2.1725e+01 2.1725e+01
3.7387e+01 4.7059e-13 1.1956e-13 2.5017e+00 5.6584e-01 3.1486e-04 9.5575e-05 2.1831e+01 2.1831e+01
3.7477e+01 4.3204e-13 1.1013e-13 2.4198e+00 5.4354e-01 3.0045e-04 9.1259e-05 2.1936e+01 2.1936e+01
3.7568e+01 3.9698e-13 1.0137e-13 2.3396e+00 5.2208e-01 2.8672e-04 8.7142e-05 2.2041e+01 2.2041e+01
3.7658e+01 3.6467e-13 9.2529e-14 2.2612e+00 5.0145e-01 2.7364e-04 8.3216e-05 2.2147e+01 2.2147e+01
3.7748e+01 3.3517e-13 8.5160e-14 2.1847e+00 4.8160e-01 2.6116e-04 7.9470e-05 2.2253e+01 2.2253e+01
3.7838e+01 3.0773e-13 7.8501e-14 2.1100e+00 4.6252e-01 2.4927e-04 7.5898e-05 2.2360e+01 2.2360e+01
3.7928e+01 2.8238e-13 7.1777e-14 2.0372e+00 4.4418e-01 2.3793e-04 7.2490e-05 2.2466e+01 2.2466e+01
3.8018e+01 2.5994e-13 6.6571e-14 1.9663e+00 4.2654e-01 2.2713e-04 6.9239e-05 2.2573e+01 2.2573e+01
3.8108e+01 2.3888e-13 6.1313e-14 1.8973e+00 4.0959e-01 2.1682e-04 6.6138e-05 2.2680e+01 2.2680e+01
3.8198e+01 2.1921e-13 5.6003e-14 1.8302e+00 3.9330e-01 2.0700e-04 6.3179e-05 2.2788e+01 2.2788e+01
3.8288e+01 2.0176e-13 5.1444e-14 1.7650e+00 3.7765e-01 1.9763e-04 6.0355e-05 2.2895e+01 2.2895e+01
3.8378e+01 1.8575e-13 4.7649e-14 1.7017e+00 3.6260e-01 1.8869e-04 5.7661e-05 2.3003e+01 2.3003e+01
3.8468e+01 1.7039e-13 4.3816e-14 1.6402e+00 3.4815e-01 1.8017e-04 5.5090e-05 2.3111e+01 2.3111e+01
3.8559e+01 1.5652e-13 3.9945e-14 1.5806e+00 3.3427e-01 1.7205e-04 5.2637e-05 2.3220e+01 2.3220e+01
3.8649e+01 1.4415e-13 3.6856e-14 1.5228e+00 3.2093e-01 1.6430e-04 5.0295e-05 2.3328e+01 2.3328e+01
3.8739e+01 1.3248e-13 3.3736e-14 1.4668e+00 3.0812e-01 1.5690e-04 4.8061e-05 2.3437e+01 2.3437e+01
3.8829e+01 1.2235e-13 3.1414e-14 1.4126e+00 2.9581e-01 1.4985e-04 4.5928e-05 2.3546e+01 2.3546e+01
3.8919e+01 1.1212e-13 2.9068e-14 1.3602e+00 2.8400e-01 1.4312e-04 4.3892e-05 2.3656e+01 2.3656e+01
3.9009e+01 1.0346e-13 2.6700e-14 1.3094e+00 2.7265e-01 1.3671e-04 4.1948e-05 2.3765e+01 2.3765e+01
3.9099e+01 9.4719e-14 2.4308e-14 1.2604e+00 2.6175e-01 1.3058e-04 4.0093e-05 2.3875e+01 2.3875e+01
3.9189e+01 8.7577e-14 2.2736e-14 1.2129e+00 2.5128e-01 1.2474e-04 3.8322e-05 2.3985e+01 2.3985e+01
3.9279e+01 8.0367e-14 2.0303e-14 1.1671e+00 2.4123e-01 1.1917e-04 3.6631e-05 2.4096e+01 2.4096e+01
3.9369e+01 7.3937e-14 1.8697e-14 1.1229e+00 2.3159e-01 1.1385e-04 3.5016e-05 2.4206e+01 2.4206e+01
3.9459e+01 6.8299e-14 1.7929e-14 1.0801e+00 2.2232e-01 1.0878e-04 3.3475e-05 2.4317e+01 2.4317e+01
3.9550e+01 6.2608e-14 1.6295e-14 1.0389e+00 2.1343e-01 1.0393e-04 3.2003e-05 2.4429e+01 2.4429e+01
3.9640e+01 5.7724e-14 1.4646e-14 9.9914e-01 2.0489e-01 9.9309e-05 3.0597e-05 2.4540e+01 2.4540e+01
3.9730e+01 5.2794e-14 1.3848e-14 9.6077e-01 1.9669e-01 9.4897e-05 2.9254e-05 2.4652e+01 2.4652e+01
3.9820e+01 4.8687e-14 1.2172e-14 9.2378e-01 1.8882e-01 9.0686e-05 2.7972e-05 2.4764e+01 2.4764e+01
3.9910e+01 4.4541e-14 1.1354e-14 8.8812e-01 1.8127e-01 8.6667e-05 2.6748e-05 2.4876e+01 2.4876e+01
4.0000e+01 4.1233e-14 1.0528e-14 8.5375e-01 1.7402e-01 8.2830e-05 2.5578e-05 2.4988e+01 2.4988e+01
4.0090e+01 3.7894e-14 9.6937e-15 8.2064e-01 1.6706e-01 7.9167e-05 2.4461e-05 2.5101e+01 2.5101e+01
4.0180e+01 3.5409e-14 8.8522e-15 7.8875e-01 1.6038e-01 7.5670e-05 2.3393e-05 2.5214e+01 2.5214e+01
4.0270e+01 3.2011e-14 8.0027e-15 7.5804e-01 1.5397e-01 7.2332e-05 2.2374e-05 2.5327e+01 2.5327e+01
4.0360e+01 2.9475e-14 8.0385e-15 7.2846e-01 1.4781e-01 6.9144e-05 2.1400e-05 2.5440e+01 2.5440e+01
4.0450e+01 2.7812e-14 7.1773e-15 7.0000e-01 1.4191e-01 6.6100e-05 2.0469e-05 2.5554e+01 2.5554e+01
4.0541e+01 2.5233e-14 6.3082e-15 6.7260e-01 1.3623e-01 6.3194e-05 1.9580e-05 2.5668e+01 2.5668e+01
4.0631e+01 2.3535e-14 6.3362e-15 6.4623e-01 1.3079e-01 6.0418e-05 1.8731e-05 2.5782e+01 2.5782e+01
4.0721e+01 2.1821e-14 5.4552e-15 6.2086e-01 1.2557e-01 5.7767e-05 1.7919e-05 2.5897e+01 2.5897e+01
4.0811e+01 2.0091e-14 5.4793e-15 5.9646e-01 1.2055e-01 5.5236e-05 1.7143e-05 2.6011e+01 2.6011e+01
4.0901e+01 1.8345e-14 4.5863e-15 5.7299e-01 1.1574e-01 5.2818e-05 1.6402e-05 2.6126e+01 2.6126e+01
4.0991e+01 1.6583e-14 4.6065e-15 5.5041e-01 1.1112e-01 5.0509e-05 1.5693e-05 2.6242e+01 2.6242e+01
4.1081e+01 1.5731e-14 3.7014e-15 5.2870e-01 1.0669e-01 4.8303e-05 1.5016e-05 2.6357e+01 2.6357e+01
4.1171e+01 1.3941e-14 3.7177e-15 5.0783e-01 1.0244e-01 4.6195e-05 1.4369e-05 2.6473e+01 2.6473e+01
4.1261e+01 1.3069e-14 3.7340e-15 4.8777e-01 9.8353e-02 4.4182e-05 1.3750e-05 2.6589e+01 2.6589e+01
4.1351e+01 1.2188e-14 2.8127e-15 4.6848e-01 9.4433e-02 4.2259e-05 1.3159e-05 2.6705e+01 2.6705e+01
4.1441e+01 1.1300e-14 2.8250e-15 4.4994e-01 9.0672e-02 4.0422e-05 1.2594e-05 2.6822e+01 2.6822e+01
4.1532e+01 1.0403e-14 2.8373e-15 4.3212e-01 8.7061e-02 3.8666e-05 1.2053e-05 2.6938e+01 2.6938e+01
4.1622e+01 9.4987e-15 2.8496e-15 4.1500e-01 8.3596e-02 3.6988e-05 1.1537e-05 2.7055e+01 2.7055e+01
4.1712e+01 8.5859e-15 1.9080e-15 3.9855e-01 8.0270e-02 3.5386e-05 1.1043e-05 2.7173e+01 2.7173e+01
4.1802e+01 7.6649e-15 1.9162e-15 3.8274e-01 7.7078e-02 3.3854e-05 1.0570e-05 2.7290e+01 2.7290e+01
4.1892e+01 7.6979e-15 1.9245e-15 3.6755e-01 7.4014e-02 3.2390e-05 1.0119e-05 2.7408e+01 2.7408e+01
4.1982e+01 6.7647e-15 1.9328e-15 3.5296e-01 7.1073e-02 3.0991e-05 9.6867e-06 2.7526e+01 2.7526e+01
4.2072e+01 6.7938e-15 1.9411e-15 3.3895e-01 6.8250e-02 2.9654e-05 9.2737e-06 2.7644e+01 2.7644e+01
4.2162e+01 5.8482e-15 1.9494e-15 3.2549e-01 6.5540e-02 2.8376e-05 8.8788e-06 2.7763e+01 2.7763e+01
4.2252e+01 5.8732e-15 9.7887e-16 3.1256e-01 6.2940e-02 2.7154e-05 8.5010e-06 2.7881e+01 2.7881e+01
4.2342e+01 4.9152e-15 9.8305e-16 3.0014e-01 6.0443e-02 2.5986e-05 8.1397e-06 2.8000e+01 2.8000e+01
4.2432e+01 4.9362e-15 9.8724e-16 2.8821e-01 5.8047e-02 2.4870e-05 7.7942e-06 2.8120e+01 2.8120e+01
4.2523e+01 3.9657e-15 9.9143e-16 2.7675e-01 5.5747e-02 2.3803e-05 7.4637e-06 2.8239e+01 2.8239e+01
4.2613e+01 3.9826e-15 9.9564e-16 2.6575e-01 5.3539e-02 2.2782e-05 7.1475e-06 2.8359e+01 2.8359e+01
4.2703e+01 3.9994e-15 9.9985e-16 2.5519e-01 5.1420e-02 2.1807e-05 6.8451e-06 2.8479e+01 2.8479e+01
4.2793e+01 3.0122e-15 1.0041e-15 2.4504e-01 4.9385e-02 2.0874e-05 6.5557e-06 2.8599e+01 2.8599e+01
4.2883e+01 3.0249e-15 1.0083e-15 2.3530e-01 4.7433e-02 1.9982e-05 6.2789e-06 2.8720e+01 2.8720e+01
4.2973e+01 3.0376e-15 1.0125e-15 2.2595e-01 4.5558e-02 1.9129e-05 6.0140e-06 2.8841e+01 2.8841e+01
4.3063e+01 3.0504e-15 1.0168e-15 2.1697e-01 4.3758e-02 1.8314e-05 5.7606e-06 2.8962e+01 2.8962e+01
4.3153e+01 2.0421e-15 1.0211e-15 2.0834e-01 4.2030e-02 1.7534e-05 5.5181e-06 2.9083e+01 2.9083e+01
4.3243e+01 2.0506e-15 1.0253e-15 2.0006e-01 4.0372e-02 1.6788e-05 5.2861e-06 2.9205e+01 2.9205e+01
4.3333e+01 2.0592e-15 1.0296e-15 1.9211e-01 3.8780e-02 1.6075e-05 5.0641e-06 2.9326e+01 2.9326e+01
4.3423e+01 2.0678e-15 0.0000e+00 1.8448e-01 3.7251e-02 1.5392e-05 4.8516e-06 2.9448e+01 2.9448e+01
4.3514e+01 2.0764e-15 0.0000e+00 1.7715e-01 3.5783e-02 1.4739e-05 4.6482e-06 2.9571e+01 2.9571e+01
4.3604e+01 2.0850e-15 0.0000e+00 1.7012e-01 3.4374e-02 1.4115e-05 4.4536e-06 2.9693e+01 2.9693e+01
4.3694e+01 1.0468e-15 0.0000e+00 1.6337e-01 3.3022e-02 1.3518e-05 4.2673e-06 2.9816e+01 2.9816e+01
4.3784e+01 1.0511e-15 0.0000e+00 1.5688e-01 3.1723e-02 1.2946e-05 4.0890e-06 2.9939e+01 2.9939e+01
4.3874e+01 1.0554e-15 0.0000e+00 1.5066e-01 3.0476e-02 1.2400e-05 3.9184e-06 3.0063e+01 3.0063e+01
4.3964e+01 1.0598e-15 0.0000e+00 1.4468e-01 2.9278e-02 1.1877e-05 3.7550e-06 3.0186e+01 3.0186e+01
4.4054e+01 1.0641e-15 0.0000e+00 1.3894e-01 2.8129e-02 1.1376e-05 3.5986e-06 3.0310e+01 3.0310e+01
4.4144e+01 1.0685e-15 0.0000e+00 1.3344e-01 2.7025e-02 1.0897e-05 3.4488e-06 3.0434e+01 3.0434e+01
